"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006171","cAMP biosynthetic process","5/390","13/18842",0.384615384615385,18.5818540433925,9.21903097537029,4.15650720561198e-06,0.0117244674342517,NA,"115/112/196883/111/107",5
"GO:0000212","meiotic spindle organization","5/390","15/18842",0.333333333333333,16.1042735042735,8.50780377392871,9.37221887315173e-06,0.0117244674342517,NA,"10403/25879/6790/5728/221150",5
"GO:0009190","cyclic nucleotide biosynthetic process","6/390","25/18842",0.24,11.5950769230769,7.70657627878865,9.60243047334653e-06,0.0117244674342517,NA,"115/112/196883/111/107/1910",6
"GO:0046058","cAMP metabolic process","6/390","25/18842",0.24,11.5950769230769,7.70657627878865,9.60243047334653e-06,0.0117244674342517,NA,"115/112/196883/111/107/5150",6
"GO:0043524","negative regulation of neuron apoptotic process","12/390","124/18842",0.0967741935483871,4.67543424317618,5.96969762115317,1.0342674467931e-05,0.0117244674342517,NA,"5921/5457/1524/7043/2019/596/80315/5831/3572/7832/27324/4915",12
"GO:0007346","regulation of mitotic cell cycle","26/390","492/18842",0.0528455284552846,2.55311653116531,5.07494236840444,1.32941213822704e-05,0.0117244674342517,NA,"10403/6491/57405/10950/8317/5690/91754/9787/5693/6790/4085/7508/5728/1869/5685/51053/144455/23331/652/55198/990/23560/51692/1163/221150/9212",26
"GO:0007051","spindle organization","15/390","195/18842",0.0769230769230769,3.7163708086785,5.54324954852467,1.40746877745823e-05,0.0117244674342517,NA,"10403/6491/57405/9493/22974/9787/29899/25879/6790/5728/114327/93323/3925/221150/9212",15
"GO:0044786","cell cycle DNA replication","7/390","40/18842",0.175,8.45474358974359,6.86156587309556,1.59516563731316e-05,0.0117244674342517,NA,"5111/8317/7083/8318/51053/144455/79733",7
"GO:1901987","regulation of cell cycle phase transition","24/390","459/18842",0.0522875816993464,2.52616054968996,4.81239124046362,3.38927298572396e-05,0.0186172632405191,NA,"10403/6491/57405/8317/5690/9787/5693/6790/4085/7508/8318/5728/1869/54888/5685/5127/144455/5128/55198/990/23560/51692/221150/9212",24
"GO:0090306","meiotic spindle assembly","4/390","10/18842",0.4,19.3251282051282,8.42677414892726,3.43881444947753e-05,0.0186172632405191,NA,"10403/25879/5728/221150",4
"GO:1901990","regulation of mitotic cell cycle phase transition","20/390","345/18842",0.0579710144927536,2.80074321813452,4.90764615723512,3.6988404851348e-05,0.0186172632405191,NA,"10403/6491/57405/8317/5690/9787/5693/6790/4085/7508/5728/1869/5685/144455/55198/990/23560/51692/221150/9212",20
"GO:0044772","mitotic cell cycle phase transition","23/390","434/18842",0.0529953917050691,2.56035684745362,4.7811024334527,4.013949175577e-05,0.0186172632405191,NA,"10403/6491/57405/8317/5690/9787/5693/6790/23194/4085/7508/5728/1869/5685/1871/144455/55198/990/23560/51692/221150/6502/9212",23
"GO:0052652","cyclic purine nucleotide metabolic process","7/390","46/18842",0.152173913043478,7.35195094760312,6.27069804604433,4.11606160079505e-05,0.0186172632405191,NA,"115/112/196883/111/107/1910/5150",7
"GO:0009187","cyclic nucleotide metabolic process","7/390","47/18842",0.148936170212766,7.19552645935625,6.18256278427135,4.75119126691136e-05,0.0199550033210277,NA,"115/112/196883/111/107/1910/5150",7
"GO:0003091","renal water homeostasis","6/390","33/18842",0.181818181818182,8.78414918414919,6.50650582144619,5.22102545131658e-05,0.020466419769161,NA,"115/112/196883/554/111/107",6
"GO:0071377","cellular response to glucagon stimulus","5/390","21/18842",0.238095238095238,11.5030525030525,7.00110178739661,5.73226321040063e-05,0.0210660672982223,NA,"115/112/196883/111/107",5
"GO:0097700","vascular endothelial cell response to laminar fluid shear stress","5/390","22/18842",0.227272727272727,10.9801864801865,6.80930429426061,7.29281235345501e-05,0.0250692833288901,NA,"115/112/196883/111/107",5
"GO:0090068","positive regulation of cell cycle process","16/390","252/18842",0.0634920634920635,3.06748066748067,4.80357513496464,7.6742704068031e-05,0.0250692833288901,NA,"10403/6491/54892/9493/8317/153241/9787/29899/6790/4085/144455/79733/990/51692/221150/9212",16
"GO:0051321","meiotic cell cycle","17/390","281/18842",0.0604982206405694,2.92283967515284,4.72126203098953,8.37844814421288e-05,0.0259290921515641,NA,"10403/4603/27127/7153/5690/25788/5693/7516/25879/6790/126549/5728/116138/54888/5685/26255/221150",17
"GO:0007052","mitotic spindle organization","11/390","134/18842",0.082089552238806,3.96597780329124,5.00920921030508,0.000109637117615207,0.031204642617508,NA,"10403/6491/57405/9493/22974/9787/29899/6790/114327/3925/9212",11
"GO:0051782","negative regulation of cell division","4/390","13/18842",0.307692307692308,14.865483234714,7.27035494173862,0.000111445152205386,0.031204642617508,NA,"10628/144455/79733/9212",4
"GO:0050891","multicellular organismal-level water homeostasis","6/390","39/18842",0.153846153846154,7.432741617357,5.8462501404685,0.000138511466422482,0.0370203373892814,NA,"115/112/196883/554/111/107",6
"GO:0042762","regulation of sulfur metabolic process","4/390","14/18842",0.285714285714286,13.803663003663,6.96720698921994,0.00015348083078058,0.0392377080430353,NA,"5164/6667/5163/5166",4
"GO:0007143","female meiotic nuclear division","5/390","26/18842",0.192307692307692,9.29092702169625,6.1501919364342,0.000170172322617204,0.0416922190412149,NA,"10403/7153/25879/5728/221150",5
"GO:0060391","positive regulation of SMAD protein signal transduction","6/390","42/18842",0.142857142857143,6.9018315018315,5.56666494444822,0.00021136561892723,0.0497131935716845,NA,"7049/7043/9688/652/4088/7048",6
